case,method,fallback_count,calls,median_ms,mean_ms,p95_ms,maximum_ms,distinct_output_hashes,source_report,source_sha256
prefault_t0,A_BAL,16,30,13.50180502049625,13.492407044395804,13.731096242554486,13.778368942439556,1,artifacts/da_plcbf/actuator-diagnostics-20260906/v1/controller-cost-measured-v1/report.json,6bfe416911ebc411542bee351e4cb00cdb27f2307aafb37cbacd958130fa2f2d
prefault_t0,F2,16,30,13.493649428710341,13.528700964525342,14.081789506599307,14.145559165626764,1,artifacts/da_plcbf/actuator-diagnostics-20260906/v1/controller-cost-measured-v1/report.json,6bfe416911ebc411542bee351e4cb00cdb27f2307aafb37cbacd958130fa2f2d
prefault_t0,F2_2K,32,30,19.869582261890173,20.206427900120616,22.680502058938146,23.505047895014286,1,artifacts/da_plcbf/actuator-diagnostics-20260906/v1/controller-cost-measured-v1/report.json,6bfe416911ebc411542bee351e4cb00cdb27f2307aafb37cbacd958130fa2f2d
prefault_t0,PD_F,16,30,13.37859546765685,13.46194495757421,13.804699038155377,14.205607119947672,1,artifacts/da_plcbf/actuator-diagnostics-20260906/v1/controller-cost-measured-v1/report.json,6bfe416911ebc411542bee351e4cb00cdb27f2307aafb37cbacd958130fa2f2d
prefault_t0,UNION,32,30,19.93260206654668,19.898992978657283,20.277211163192987,20.37845505401492,1,artifacts/da_plcbf/actuator-diagnostics-20260906/v1/controller-cost-measured-v1/report.json,6bfe416911ebc411542bee351e4cb00cdb27f2307aafb37cbacd958130fa2f2d
postfault_t2.4,A_BAL,16,30,13.484051218256354,13.505688620110352,13.957387208938597,14.052866958081722,1,artifacts/da_plcbf/actuator-diagnostics-20260906/v1/controller-cost-measured-v1/report.json,6bfe416911ebc411542bee351e4cb00cdb27f2307aafb37cbacd958130fa2f2d
postfault_t2.4,F2,16,30,13.476777821779251,13.476818023870388,13.817819044925272,14.116050209850073,1,artifacts/da_plcbf/actuator-diagnostics-20260906/v1/controller-cost-measured-v1/report.json,6bfe416911ebc411542bee351e4cb00cdb27f2307aafb37cbacd958130fa2f2d
postfault_t2.4,F2_2K,32,30,19.924472318962216,19.89715696933369,20.197238377295434,20.24372573941946,1,artifacts/da_plcbf/actuator-diagnostics-20260906/v1/controller-cost-measured-v1/report.json,6bfe416911ebc411542bee351e4cb00cdb27f2307aafb37cbacd958130fa2f2d
postfault_t2.4,PD_F,16,30,13.451538514345884,13.45921951966981,13.943811156786978,14.085659757256508,1,artifacts/da_plcbf/actuator-diagnostics-20260906/v1/controller-cost-measured-v1/report.json,6bfe416911ebc411542bee351e4cb00cdb27f2307aafb37cbacd958130fa2f2d
postfault_t2.4,UNION,32,30,19.83827305957675,20.390336805333693,23.028416698798537,23.766891099512577,1,artifacts/da_plcbf/actuator-diagnostics-20260906/v1/controller-cost-measured-v1/report.json,6bfe416911ebc411542bee351e4cb00cdb27f2307aafb37cbacd958130fa2f2d
