adaptive.applied_passed,adaptive.control_library_version,adaptive.control_params_sha256,adaptive.mode,adaptive.nominal_row_residual_host_float64,adaptive.qp_rejection_flags,adaptive.qp_valid,adaptive.selected_policy,adaptive.selected_policy_dual,admissible_pair,cell_id,collision_free_outcome,first_applied_difference.adaptive_command,first_applied_difference.adaptive_selected_policy,first_applied_difference.frozen_command,first_applied_difference.frozen_selected_policy,first_applied_difference.identical_physical_state,first_applied_difference.maximum_motor_command_difference_n,first_applied_difference.time_seconds,frozen.applied_passed,frozen.control_library_version,frozen.control_params_sha256,frozen.mode,frozen.nominal_row_residual_host_float64,frozen.qp_rejection_flags,frozen.qp_valid,frozen.selected_policy,frozen.selected_policy_dual,pair_id,realization,recorded_input_equalities.controller_input_state,recorded_input_equalities.estimated_model_sha256,recorded_input_equalities.goal,recorded_input_equalities.nominal_command,recorded_input_equalities.observed_state,recorded_input_equalities.previous_command,recorded_input_equalities.time,runtime_method,selected_policy_equal,selected_row_equal,shared_recorded_input,stage,status,task_outcome,world_key
True,190,b0d00b8fdae7775bb7f6e9d52863711945b0004307e0d7d97bfd7859b6503869,qp,-0.07603801876223315,"[False, False, False, False, False, False, False, False]",True,12,8.815257751848549e-05,True,eta0.7_lag1_extra0,both_fail,"[0.15370921790599823, 0.1535995751619339, 0.10878046602010727, 0.10894635319709778]",12,"[0.1538357436656952, 0.15384092926979065, 0.10861177742481232, 0.10861290991306305]",12,True,0.000333443284034729,2.48,True,178,665a0426dcaaa9a4144165d3e23ffcdff3a81c0d0cfc39ebfc9d84f1688780f0,qp,0.0637202811667521,"[False, False, False, False, False, False, False, False]",True,12,0.0,6cd07190bf3097d7fc8306e37add1f43ba77ba6102ebd0a78708cf71e328655b,primary,True,True,True,True,True,True,True,A_BAL,True,False,True,matched_factorial,authenticated_decision_extract,both_fail,structured_30101
True,150,e1cb2a17df45c4d3f6e53efe78501a6d02aa16108daf8d2ac88596c3446b24e3,qp,-0.05431943562939523,"[False, False, False, False, False, False, False, False]",True,12,6.181442586239427e-05,True,eta0.7_lag1_extra1.6,both_fail,"[0.1539725959300995, 0.15399514138698578, 0.1089918464422226, 0.10905546694993973]",12,"[0.15406163036823273, 0.15416617691516876, 0.10887378454208374, 0.10881875455379486]",12,True,0.00023671239614486694,0.88,True,138,4341298343f699847c5b4724beb5b7dd4c6cc1f7fc34737e6ae62486083eb631,qp,0.10670821272844933,"[False, False, False, False, False, False, False, False]",True,12,0.0,16f6ff9632dd2c0d3d50a86700fe72f1d3c349c5a3dc768a6cdf9f74e6bfd29f,primary,True,True,True,True,True,True,True,A_BAL,True,False,True,matched_factorial,authenticated_decision_extract,both_fail,structured_30101
True,179,c22eeabfffa4f5b2209cfb0db2e6899c4d22ee86183fedb5a0615cd1abd10a08,qp,-4.341838227551349,"[False, False, False, False, False, False, False, False]",True,3,0.006906139198690653,True,eta0.7_lag2_extra0,both_fail,"[0.17311424016952515, 0.19855040311813354, 0.11535084992647171, 0.10137860476970673]",3,"[0.17286621034145355, 0.19814267754554749, 0.11550600081682205, 0.10161501914262772]",3,True,0.00040772557258605957,2.04,True,178,665a0426dcaaa9a4144165d3e23ffcdff3a81c0d0cfc39ebfc9d84f1688780f0,qp,-4.3735382860473635,"[False, False, False, False, False, False, False, False]",True,3,0.007000078912824392,271f3cb775bbe393fa3d276bb3fda3c741167945e032c57d65e5d8319a5b5986,primary,True,True,True,True,True,True,True,A_BAL,True,False,True,matched_factorial,authenticated_decision_extract,both_fail,structured_30101
True,139,897fdba4fe55c5791240c9b03b54941b232e515c89d336806f78c4f006be374a,qp,-0.3462693345637433,"[False, False, False, False, False, False, False, False]",True,11,0.0012867252808064222,True,eta0.7_lag2_extra1.6,both_fail,"[0.19913753867149353, 0.20000000298023224, 0.10236887633800507, 0.09753619879484177]",11,"[0.170983225107193, 0.1959163397550583, 0.1164623349905014, 0.10333991795778275]",3,True,0.028154313564300537,0.44,True,138,4341298343f699847c5b4724beb5b7dd4c6cc1f7fc34737e6ae62486083eb631,qp,-4.624524101947607,"[False, False, False, False, False, False, False, False]",True,3,0.007651603315025568,ecc8de94dc7eeb7d86f67104b2c3ba03d2976ad8b257959551e255eb07d63480,primary,True,True,True,True,True,True,True,A_BAL,False,False,True,matched_factorial,authenticated_decision_extract,both_fail,structured_30101
True,206,2d8a2c772dcffddfcd79a528935ae1c5120061dd5d6e5b3339c3a388a5c5c01c,qp,1.3976487960466177,"[False, False, False, False, False, False, False, False]",True,10,0.0,True,eta0.85_lag1_extra0,both_succeed,"[0.12535984814167023, 0.12536214292049408, 0.10648985952138901, 0.10648849606513977]",10,"[0.1282808482646942, 0.12337134033441544, 0.1031065508723259, 0.10882538557052612]",5,True,0.0033833086490631104,3.12,True,178,665a0426dcaaa9a4144165d3e23ffcdff3a81c0d0cfc39ebfc9d84f1688780f0,qp,-1.8854073158312303,"[False, False, False, False, False, False, False, False]",True,5,0.0004887064569629729,e4bbd5b7a1253371e041768241817bf1e4dd561f821b42986471d6f7f8941a8c,primary,True,True,True,True,True,True,True,A_BAL,False,False,True,matched_factorial,authenticated_decision_extract,both_succeed,structured_30101
True,205,d4b7dc1442c9e670cbd02516cd574efcb7c9119ea043a90479e43d086c699706,qp,1.424757255850409,"[False, False, False, False, False, False, False, False]",True,10,0.0,True,eta0.85_lag1_extra1.6,both_succeed,"[0.12513956427574158, 0.12514173984527588, 0.10637441277503967, 0.10637197643518448]",10,"[0.11468599736690521, 0.1104593500494957, 0.09052134305238724, 0.09673997014760971]",10,True,0.015853069722652435,3.08,True,138,4341298343f699847c5b4724beb5b7dd4c6cc1f7fc34737e6ae62486083eb631,fallback,-1.6595342771138917,"[False, False, False, False, False, True, False, False]",False,10,0.0004362962208688259,12316f7af5bd1eef7ca3784eedec904926bcd6a640d37437bd265c94fcdf3f9d,primary,True,True,True,True,True,True,True,A_BAL,True,False,True,matched_factorial,authenticated_decision_extract,both_succeed,structured_30101
True,206,317e0feccd1f3cfd63f343ba5d1d1ada7fb582a28471ef535b11d6e58f8b2310,qp,1.403599399097239,"[False, False, False, False, False, False, False, False]",True,10,0.0,True,eta0.85_lag2_extra0,frozen_alone_succeeds,"[0.12540419399738312, 0.12540578842163086, 0.10650405287742615, 0.1065027043223381]",10,"[0.12783551216125488, 0.1245003417134285, 0.1010284349322319, 0.10839792340993881]",10,True,0.005475617945194244,3.12,True,178,665a0426dcaaa9a4144165d3e23ffcdff3a81c0d0cfc39ebfc9d84f1688780f0,qp,-1.7429174303550212,"[False, False, False, False, False, False, False, False]",True,10,0.0007246721652336419,43a8e9e278abbe24a63dbccab6f4786093a5aea9971cf2673041bdf3a74b123c,primary,True,True,True,True,True,True,True,A_BAL,True,False,True,matched_factorial,authenticated_decision_extract,frozen_alone_succeeds,structured_30101
True,205,4992a5dabf1b0b373dfedc677a4fa6870dd25641bfd8ef56b3b7acb2f340e19b,qp,1.4213911753643345,"[False, False, False, False, False, False, False, False]",True,10,0.0,True,eta0.85_lag2_extra1.6,frozen_alone_succeeds,"[0.1251395344734192, 0.12514126300811768, 0.10637343674898148, 0.10637103021144867]",10,"[0.12733758985996246, 0.12434069812297821, 0.10140905529260635, 0.10805907845497131]",10,True,0.004964381456375122,3.08,True,138,4341298343f699847c5b4724beb5b7dd4c6cc1f7fc34737e6ae62486083eb631,qp,-1.659496330416573,"[False, False, False, False, False, False, False, False]",True,10,0.0006225256365723908,d4264ee19091a2c6a5de3143a8c820cac89e70302b925fa2e3fd94911a94c22b,primary,True,True,True,True,True,True,True,A_BAL,True,False,True,matched_factorial,authenticated_decision_extract,frozen_alone_succeeds,structured_30101
True,205,bf31c9da826fdd20cb7f42c183c0090401da9882e38f2ee5b6e9c28f4f078f4a,qp,-0.35317920984021356,"[False, False, False, False, False, False, False, False]",True,5,0.0001493167073931545,True,eta1_lag1_extra0,both_succeed,"[0.10730599611997604, 0.1063559502363205, 0.10547474771738052, 0.10640689730644226]",5,"[0.10933084785938263, 0.1053437665104866, 0.1033828854560852, 0.10736661404371262]",10,True,0.0020918622612953186,3.08,True,178,665a0426dcaaa9a4144165d3e23ffcdff3a81c0d0cfc39ebfc9d84f1688780f0,qp,-1.6573031582351518,"[False, False, False, False, False, False, False, False]",True,10,0.0003735581412911415,a2db6e0bfe7aa77928c4c04b0f65aa6e6751718aeac536055f844da52597aa32,primary,True,True,True,True,True,True,True,A_BAL,False,False,True,matched_factorial,authenticated_decision_extract,both_succeed,structured_30101
True,205,5147063eedb6ddb3ae79d8ae57b9c9a0558662ac240dbcb363e224f9f4f6891a,qp,0.3972190406001914,"[False, False, False, False, False, False, False, False]",True,5,0.0,True,eta1_lag2_extra0,frozen_alone_succeeds,"[0.1063811257481575, 0.1063825711607933, 0.10638287663459778, 0.10638081282377243]",5,"[0.10650169104337692, 0.1063990667462349, 0.10616003721952438, 0.10634942352771759]",5,True,0.00022283941507339478,3.08,True,178,665a0426dcaaa9a4144165d3e23ffcdff3a81c0d0cfc39ebfc9d84f1688780f0,qp,-0.053060729367501835,"[False, False, False, False, False, False, False, False]",True,5,3.86550382245332e-05,a7c5723e0e57d93d8662d3f76423fae7fd7fa932bbf954e8ccf385ce41cfd716,primary,True,True,True,True,True,True,True,A_BAL,True,False,True,matched_factorial,authenticated_decision_extract,frozen_alone_succeeds,structured_30101
True,206,bf7ea5cde728843a38d2947044ed3604c5329f3a9c06c4f53e005dd0786b6122,qp,-1.894582937088046,"[False, False, False, False, False, False, False, False]",True,5,0.0006534234853461385,True,eta1_lag2_extra1.6,both_succeed,"[0.10886465758085251, 0.10476889461278915, 0.10175430774688721, 0.10943284630775452]",5,"[0.10884276032447815, 0.10477456450462341, 0.10179533064365387, 0.1094236671924591]",5,True,4.10228967666626e-05,3.12,True,138,4341298343f699847c5b4724beb5b7dd4c6cc1f7fc34737e6ae62486083eb631,qp,-1.8893488264239409,"[False, False, False, False, False, False, False, False]",True,5,0.0006459365831688046,882a13473464a14f65d4241c570c38ccc612d757a61aaee31a80133ec5f113da,primary,True,True,True,True,True,True,True,A_BAL,True,False,True,matched_factorial,authenticated_decision_extract,both_succeed,structured_30101
