library,objective,cell,bank,optimizer,position_rmse_mean_m,position_rmse_max_m,velocity_rmse_mean_mps,velocity_rmse_max_mps,terminal_speed_max_mps,tracking_and_braking_pass,operational_pass
learned,F2,effectiveness,development27,frozen,0.10277366638183594,0.2991930842399597,0.13892515003681183,0.4073489308357239,0.6692351698875427,True,True
learned,F2,effectiveness,original_validation16,frozen,0.09802287817001343,0.2508470416069031,0.13255003094673157,0.3408447504043579,0.6690495014190674,True,True
learned,F2,nominal,development27,frozen,2.2489393813884817e-07,1.8652867765922565e-06,6.331866302389244e-07,4.419691322254948e-06,0.6968755125999451,True,True
learned,F2,nominal,original_validation16,frozen,3.0591326094508986e-07,7.497306796722114e-06,7.927085903247644e-07,1.104912553273607e-05,0.7170585989952087,True,True
learned,legacy,nominal,development27,persistent,0.011074011214077473,0.018321888521313667,0.016342783346772194,0.026989277452230453,0.6879380941390991,True,True
learned,legacy,nominal,original_validation16,persistent,0.010731225833296776,0.01948487013578415,0.015907790511846542,0.027401279658079147,0.7099122405052185,True,True
learned,legacy,nominal,development27,reset,0.010832680389285088,0.0188912320882082,0.015910014510154724,0.027769852429628372,0.6917571425437927,True,True
learned,legacy,nominal,original_validation16,reset,0.01048533245921135,0.01959110051393509,0.015463798306882381,0.027788668870925903,0.7139124274253845,True,True
learned,legacy,effectiveness,development27,persistent,0.03827391192317009,0.10066913813352585,0.08399415016174316,0.16483783721923828,0.8585478663444519,False,True
learned,legacy,effectiveness,original_validation16,persistent,0.04719516634941101,0.16609905660152435,0.0895693302154541,0.22834062576293945,0.9119107127189636,False,True
learned,legacy,effectiveness,development27,reset,0.043013498187065125,0.14084897935390472,0.09142647683620453,0.20295332372188568,0.9032006859779358,False,True
learned,legacy,effectiveness,original_validation16,reset,0.04726487398147583,0.17130236327648163,0.09167756140232086,0.23598283529281616,0.9291212558746338,False,True
learned,balanced_reference,nominal,development27,persistent,0.0001960379013326019,0.0004430657427292317,0.00037489255191758275,0.0007294949609786272,0.6954841613769531,True,True
learned,balanced_reference,nominal,original_validation16,persistent,0.0001954111212398857,0.00042470605694688857,0.0003726509166881442,0.0007055632886476815,0.715644896030426,True,True
learned,balanced_reference,nominal,development27,reset,0.0002617680875118822,0.0006023388705216348,0.00040380904101766646,0.0008877476793713868,0.6959442496299744,True,True
learned,balanced_reference,nominal,original_validation16,reset,0.00024262146325781941,0.000660438381601125,0.0003839285927824676,0.0009782586712390184,0.7162029147148132,True,True
learned,balanced_reference,effectiveness,development27,persistent,0.036606140434741974,0.1052892729640007,0.08751843869686127,0.1699489951133728,0.7958794832229614,True,True
learned,balanced_reference,effectiveness,original_validation16,persistent,0.043512068688869476,0.15825046598911285,0.0899508073925972,0.2157592624425888,0.8537598848342896,False,True
learned,balanced_reference,effectiveness,development27,reset,0.04161880537867546,0.13879071176052094,0.09483742713928223,0.20119842886924744,0.8152070641517639,False,True
learned,balanced_reference,effectiveness,original_validation16,reset,0.0453823022544384,0.16148844361305237,0.09376402199268341,0.22093814611434937,0.8467395305633545,False,True
learned,F2,effectiveness,fresh_validation16,frozen,0.09967324137687683,0.32960110902786255,0.13490119576454163,0.45199793577194214,0.7469602227210999,False,True
learned,F2,nominal,fresh_validation16,frozen,2.1657514537309908e-07,2.0930908704031026e-06,6.189598025230225e-07,5.178094852453796e-06,0.6666150093078613,True,True
learned,balanced_reference_braking,nominal,development27,persistent,0.00011978624388575554,0.0002800546062644571,0.00022739311680197716,0.0004831273399759084,0.6968100070953369,True,True
learned,balanced_reference_braking,nominal,fresh_validation16,persistent,0.0001516396296210587,0.0004486464022193104,0.0002715596347115934,0.0006763793644495308,0.6659100651741028,True,True
learned,balanced_reference_braking,nominal,development27,reset,0.00034826717455871403,0.0009023075690492988,0.0005788368289358914,0.0014898484805598855,0.6966233253479004,True,True
learned,balanced_reference_braking,nominal,fresh_validation16,reset,0.0003253469185438007,0.0007294797687791288,0.0005556498654186726,0.001354911015368998,0.6661415696144104,True,True
learned,balanced_reference_braking,effectiveness,development27,persistent,0.04223146289587021,0.11026457697153091,0.07620714604854584,0.15983527898788452,0.7126730680465698,True,True
learned,balanced_reference_braking,effectiveness,fresh_validation16,persistent,0.052637532353401184,0.24229775369167328,0.08968054503202438,0.32979443669319153,0.7903597354888916,True,True
learned,balanced_reference_braking,effectiveness,development27,reset,0.04908110201358795,0.14311937987804413,0.0844193547964096,0.2018531858921051,0.7201287150382996,True,True
