stage,pair_id,world,cell,realization,task_outcome,actual_applied_command,actual_selected_policy,adaptive_max_fallback_hard_value,diagnostic_union_max_fallback_hard_value,diagnostic_union_minus_fault_frozen,fallback_count_each,frozen_max_fallback_hard_value,immutable_core_values_exact_equal,physical_branch,shared_inputs_sha256,time_seconds,source_report,source_sha256,per_skill_values_sha256
fresh_validation,8b6044bfaddc62023c71fd2625963ccd9aa29036a486e7b42701d1591b9cfb0f,navigation_63101,eta0.7_lag1_extra0,primary,frozen_alone_succeeds,"[0.19043195247650146, 0.19375073909759521, 0.10262024402618408, 0.10418261587619781]",16,0.1010923981666565,0.1010923981666565,0.0,32,0.1010923981666565,True,frozen,bf5bb2534134c997abba8f078e0f43137119216882dd7aafde055c5b4030f2ca,2.0,artifacts/da_plcbf/actuator-diagnostics-20260906/v1/secondary-refresh-validation-v1/analysis-v1/fresh_validation/8b6044bfaddc62023c71fd2625963ccd9aa29036a486e7b42701d1591b9cfb0f/common_state_report.json,6b4a210259e093cd43f8bc47764989b2d2ba12540dfab771b858734b4b28df9a,0d05c2fa1440300856e68e7b934312fcf528ba1f7354714860063317e23e0c49
fresh_validation,8b6044bfaddc62023c71fd2625963ccd9aa29036a486e7b42701d1591b9cfb0f,navigation_63101,eta0.7_lag1_extra0,primary,frozen_alone_succeeds,"[0.19043195247650146, 0.19375073909759521, 0.10262024402618408, 0.10418261587619781]",16,0.1010923981666565,0.1010923981666565,0.0,32,0.1010923981666565,True,adaptive,bf5bb2534134c997abba8f078e0f43137119216882dd7aafde055c5b4030f2ca,2.0,artifacts/da_plcbf/actuator-diagnostics-20260906/v1/secondary-refresh-validation-v1/analysis-v1/fresh_validation/8b6044bfaddc62023c71fd2625963ccd9aa29036a486e7b42701d1591b9cfb0f/common_state_report.json,6b4a210259e093cd43f8bc47764989b2d2ba12540dfab771b858734b4b28df9a,0d05c2fa1440300856e68e7b934312fcf528ba1f7354714860063317e23e0c49
fresh_validation,8b6044bfaddc62023c71fd2625963ccd9aa29036a486e7b42701d1591b9cfb0f,navigation_63101,eta0.7_lag1_extra0,primary,frozen_alone_succeeds,"[0.15382958948612213, 0.15088121592998505, 0.10475987195968628, 0.10879335552453995]",28,0.010265350341796875,0.01027059555053711,0.0,32,0.01027059555053711,True,frozen,4ce7ac8972935844329ea688ccf2a038ceb211a53dd13f5119a634612713bf57,2.4,artifacts/da_plcbf/actuator-diagnostics-20260906/v1/secondary-refresh-validation-v1/analysis-v1/fresh_validation/8b6044bfaddc62023c71fd2625963ccd9aa29036a486e7b42701d1591b9cfb0f/common_state_report.json,6b4a210259e093cd43f8bc47764989b2d2ba12540dfab771b858734b4b28df9a,0d05c2fa1440300856e68e7b934312fcf528ba1f7354714860063317e23e0c49
fresh_validation,8b6044bfaddc62023c71fd2625963ccd9aa29036a486e7b42701d1591b9cfb0f,navigation_63101,eta0.7_lag1_extra0,primary,frozen_alone_succeeds,"[0.15363624691963196, 0.1510777324438095, 0.10495321452617645, 0.10849085450172424]",30,0.00950700044631958,0.009512603282928467,0.0,32,0.009512603282928467,True,adaptive,ee4c711186521ec25fd11463c519d1f87f1c5a410bbf4bc0bce8a0daa1c5cad6,2.4,artifacts/da_plcbf/actuator-diagnostics-20260906/v1/secondary-refresh-validation-v1/analysis-v1/fresh_validation/8b6044bfaddc62023c71fd2625963ccd9aa29036a486e7b42701d1591b9cfb0f/common_state_report.json,6b4a210259e093cd43f8bc47764989b2d2ba12540dfab771b858734b4b28df9a,0d05c2fa1440300856e68e7b934312fcf528ba1f7354714860063317e23e0c49
fresh_validation,8b6044bfaddc62023c71fd2625963ccd9aa29036a486e7b42701d1591b9cfb0f,navigation_63101,eta0.7_lag1_extra0,primary,frozen_alone_succeeds,"[0.15466077625751495, 0.15486423671245575, 0.1078585758805275, 0.10885130614042282]",4,0.26502466201782227,0.26502466201782227,0.0,32,0.26502466201782227,True,frozen,fa96bec931d0f86f12c3771cfe9f9eadd0b92106b827191d0369437c37aa78a0,2.8,artifacts/da_plcbf/actuator-diagnostics-20260906/v1/secondary-refresh-validation-v1/analysis-v1/fresh_validation/8b6044bfaddc62023c71fd2625963ccd9aa29036a486e7b42701d1591b9cfb0f/common_state_report.json,6b4a210259e093cd43f8bc47764989b2d2ba12540dfab771b858734b4b28df9a,0d05c2fa1440300856e68e7b934312fcf528ba1f7354714860063317e23e0c49
fresh_validation,8b6044bfaddc62023c71fd2625963ccd9aa29036a486e7b42701d1591b9cfb0f,navigation_63101,eta0.7_lag1_extra0,primary,frozen_alone_succeeds,"[0.15427350997924805, 0.15400876104831696, 0.10735739022493362, 0.10840751230716705]",0,0.3015533685684204,0.3015533685684204,0.0,32,0.3015533685684204,True,adaptive,beca03fa5f7a6bad24c6dc2b3449b764274abc5e22353966d203851839a70b40,2.8,artifacts/da_plcbf/actuator-diagnostics-20260906/v1/secondary-refresh-validation-v1/analysis-v1/fresh_validation/8b6044bfaddc62023c71fd2625963ccd9aa29036a486e7b42701d1591b9cfb0f/common_state_report.json,6b4a210259e093cd43f8bc47764989b2d2ba12540dfab771b858734b4b28df9a,0d05c2fa1440300856e68e7b934312fcf528ba1f7354714860063317e23e0c49
fresh_validation,c79222c0c730c9ca352410c82913e62026ee00a21ca8c8786d13c947b806f73d,navigation_63101,eta1_lag1_extra0,primary,both_succeed,"[0.10070649534463882, 0.10399595648050308, 0.10533425956964493, 0.10196536779403687]",32,0.15726518630981445,0.15726518630981445,0.0,32,0.15726518630981445,True,frozen,0f167f6cd3aa304f9f53749da4a1bd75de61b27ca50e15cb73833cfdf832bb86,2.0,artifacts/da_plcbf/actuator-diagnostics-20260906/v1/secondary-refresh-validation-v1/analysis-v1/fresh_validation/c79222c0c730c9ca352410c82913e62026ee00a21ca8c8786d13c947b806f73d/common_state_report.json,e4145b058e5036f90d35dcf50caf79962b4dbe8eb54d4a916e688c82d04cf86f,b5a060befb677059939584b393edbde5dcbe45e92bdc2a1c136c3971c2da9286
fresh_validation,c79222c0c730c9ca352410c82913e62026ee00a21ca8c8786d13c947b806f73d,navigation_63101,eta1_lag1_extra0,primary,both_succeed,"[0.10070649534463882, 0.10399595648050308, 0.10533425956964493, 0.10196536779403687]",32,0.15726518630981445,0.15726518630981445,0.0,32,0.15726518630981445,True,adaptive,0f167f6cd3aa304f9f53749da4a1bd75de61b27ca50e15cb73833cfdf832bb86,2.0,artifacts/da_plcbf/actuator-diagnostics-20260906/v1/secondary-refresh-validation-v1/analysis-v1/fresh_validation/c79222c0c730c9ca352410c82913e62026ee00a21ca8c8786d13c947b806f73d/common_state_report.json,e4145b058e5036f90d35dcf50caf79962b4dbe8eb54d4a916e688c82d04cf86f,b5a060befb677059939584b393edbde5dcbe45e92bdc2a1c136c3971c2da9286
fresh_validation,c79222c0c730c9ca352410c82913e62026ee00a21ca8c8786d13c947b806f73d,navigation_63101,eta1_lag1_extra0,primary,both_succeed,"[0.1077682301402092, 0.10638277977705002, 0.10625119507312775, 0.10744059830904007]",14,0.016040265560150146,0.016055822372436523,0.0,32,0.016055822372436523,True,frozen,dadda3410758696b901aa658eb7ebbb87849a276cb72523af23165fad30ad23a,2.4,artifacts/da_plcbf/actuator-diagnostics-20260906/v1/secondary-refresh-validation-v1/analysis-v1/fresh_validation/c79222c0c730c9ca352410c82913e62026ee00a21ca8c8786d13c947b806f73d/common_state_report.json,e4145b058e5036f90d35dcf50caf79962b4dbe8eb54d4a916e688c82d04cf86f,b5a060befb677059939584b393edbde5dcbe45e92bdc2a1c136c3971c2da9286
fresh_validation,c79222c0c730c9ca352410c82913e62026ee00a21ca8c8786d13c947b806f73d,navigation_63101,eta1_lag1_extra0,primary,both_succeed,"[0.10777323693037033, 0.10638061910867691, 0.10624849796295166, 0.10744505375623703]",30,0.01598358154296875,0.015999019145965576,0.0,32,0.015999019145965576,True,adaptive,e3704a2f59aa377770bc9f683280e8be892064ceeee8950b15173b49a6bf1450,2.4,artifacts/da_plcbf/actuator-diagnostics-20260906/v1/secondary-refresh-validation-v1/analysis-v1/fresh_validation/c79222c0c730c9ca352410c82913e62026ee00a21ca8c8786d13c947b806f73d/common_state_report.json,e4145b058e5036f90d35dcf50caf79962b4dbe8eb54d4a916e688c82d04cf86f,b5a060befb677059939584b393edbde5dcbe45e92bdc2a1c136c3971c2da9286
