stage,pair_id,world,cell,realization,declared_controller,analysis_status,admissible_pair,wrapper_prefix_exact_equal,common_state_completed,task_outcome,collision_free_outcome,first_command_divergence_time_s,maximum_command_difference_N,source_report,source_sha256,frozen_outcome,frozen_physical_time_s,frozen_declared_duration_s,frozen_publications,adaptive_outcome,adaptive_physical_time_s,adaptive_declared_duration_s,adaptive_publications
fresh_validation,8b6044bfaddc62023c71fd2625963ccd9aa29036a486e7b42701d1591b9cfb0f,navigation_63101,eta0.7_lag1_extra0,primary,UNION_REFRESH,completed,True,True,True,frozen_alone_succeeds,frozen_alone_succeeds,2.2,2.205371856689453e-06,artifacts/da_plcbf/actuator-diagnostics-20260906/v1/secondary-refresh-validation-v1/analysis-v1/fresh_validation/report.json,e748a5ab57e2f233aa09c3c1969eb51c0ba0fddf05e45f047f0023146104815e,safe_task,24.0,24.0,50,collision,14.095000000000002,24.0,352
fresh_validation,c79222c0c730c9ca352410c82913e62026ee00a21ca8c8786d13c947b806f73d,navigation_63101,eta1_lag1_extra0,primary,UNION_REFRESH,completed,True,True,True,both_succeed,both_succeed,2.04,1.7583370208740234e-06,artifacts/da_plcbf/actuator-diagnostics-20260906/v1/secondary-refresh-validation-v1/analysis-v1/fresh_validation/report.json,e748a5ab57e2f233aa09c3c1969eb51c0ba0fddf05e45f047f0023146104815e,safe_task,24.0,24.0,50,safe_task,24.0,24.0,599
fresh_validation,740af8f7326856798dcf57c495059698c915f69d77bd3336cb663b25e41e806f,navigation_63102,eta0.7_lag1_extra0,primary,UNION_REFRESH,completed,True,True,True,both_succeed,both_succeed,4.08,5.5655837059021e-06,artifacts/da_plcbf/actuator-diagnostics-20260906/v1/secondary-refresh-validation-v1/analysis-v1/fresh_validation/report.json,e748a5ab57e2f233aa09c3c1969eb51c0ba0fddf05e45f047f0023146104815e,safe_task,24.0,24.0,50,safe_task,24.0,24.0,599
fresh_validation,36dac22953c93a92ceb7d534e7c551256812a7266955382dbb05eb9d86da1c95,navigation_63102,eta1_lag1_extra0,primary,UNION_REFRESH,completed,True,True,True,both_succeed,both_succeed,5.68,6.981194019317627e-06,artifacts/da_plcbf/actuator-diagnostics-20260906/v1/secondary-refresh-validation-v1/analysis-v1/fresh_validation/report.json,e748a5ab57e2f233aa09c3c1969eb51c0ba0fddf05e45f047f0023146104815e,safe_task,24.0,24.0,50,safe_task,24.0,24.0,599
fresh_validation,bb94998f34effd70d711aa7ea8908688fae7e49bfe7f5e3dc51e611a26e2c0fa,navigation_63103,eta0.7_lag1_extra0,primary,UNION_REFRESH,completed,True,True,True,frozen_alone_succeeds,both_succeed,5.48,0.001253865659236908,artifacts/da_plcbf/actuator-diagnostics-20260906/v1/secondary-refresh-validation-v1/analysis-v1/fresh_validation/report.json,e748a5ab57e2f233aa09c3c1969eb51c0ba0fddf05e45f047f0023146104815e,safe_task,24.0,24.0,50,operational_failure,24.0,24.0,599
fresh_validation,4204c0b680a36a3190b4d5287f189b33096b1a71e5446e114bb0d5ec48970e87,navigation_63103,eta1_lag1_extra0,primary,UNION_REFRESH,completed,True,True,True,frozen_alone_succeeds,frozen_alone_succeeds,5.44,3.6135315895080566e-06,artifacts/da_plcbf/actuator-diagnostics-20260906/v1/secondary-refresh-validation-v1/analysis-v1/fresh_validation/report.json,e748a5ab57e2f233aa09c3c1969eb51c0ba0fddf05e45f047f0023146104815e,safe_task,24.0,24.0,50,collision,13.450000000000001,24.0,336
fresh_validation,3fccde503b5e27facdd85e85f992196b7bb5d6640deed1adc203ca1f1e06236a,navigation_63104,eta0.7_lag1_extra0,primary,UNION_REFRESH,completed,True,True,True,frozen_alone_succeeds,frozen_alone_succeeds,2.04,2.2098422050476074e-05,artifacts/da_plcbf/actuator-diagnostics-20260906/v1/secondary-refresh-validation-v1/analysis-v1/fresh_validation/report.json,e748a5ab57e2f233aa09c3c1969eb51c0ba0fddf05e45f047f0023146104815e,safe_task,24.0,24.0,50,collision,4.595,24.0,114
fresh_validation,33bf3bc593df1c6b44a2072d5597775ce567ee893071e4da943e17ecea757333,navigation_63104,eta1_lag1_extra0,primary,UNION_REFRESH,completed,True,True,True,both_succeed,both_succeed,2.2800000000000002,2.9966235160827637e-05,artifacts/da_plcbf/actuator-diagnostics-20260906/v1/secondary-refresh-validation-v1/analysis-v1/fresh_validation/report.json,e748a5ab57e2f233aa09c3c1969eb51c0ba0fddf05e45f047f0023146104815e,safe_task,24.0,24.0,50,safe_task,24.0,24.0,599
fresh_validation,ac52a4d4de6e4a629d73a1e1af147d8d8b090e632d743f433d35be7767f0e8e5,structured_63001,eta0.7_lag1_extra0,primary,UNION_REFRESH,completed,True,True,True,both_succeed,both_succeed,3.08,0.0059586986899375916,artifacts/da_plcbf/actuator-diagnostics-20260906/v1/secondary-refresh-validation-v1/analysis-v1/fresh_validation/report.json,e748a5ab57e2f233aa09c3c1969eb51c0ba0fddf05e45f047f0023146104815e,safe_task,14.0,14.0,50,safe_task,14.0,14.0,349
fresh_validation,95fd42ebfee29b3dd016f225772fe01396b09753f2f687939a8e2b1e8476e107,structured_63001,eta1_lag1_extra0,primary,UNION_REFRESH,completed,True,True,True,both_succeed,both_succeed,4.76,5.416572093963623e-06,artifacts/da_plcbf/actuator-diagnostics-20260906/v1/secondary-refresh-validation-v1/analysis-v1/fresh_validation/report.json,e748a5ab57e2f233aa09c3c1969eb51c0ba0fddf05e45f047f0023146104815e,safe_task,14.0,14.0,50,safe_task,14.0,14.0,349
fresh_validation,dd949063d75a80ef05383b8717a29ec5cb7fe36bc2cc47bffc6aca42f7ceee56,structured_63002,eta0.7_lag1_extra0,primary,UNION_REFRESH,completed,True,True,True,both_fail,both_fail,3.4,0.0032562315464019775,artifacts/da_plcbf/actuator-diagnostics-20260906/v1/secondary-refresh-validation-v1/analysis-v1/fresh_validation/report.json,e748a5ab57e2f233aa09c3c1969eb51c0ba0fddf05e45f047f0023146104815e,collision,5.1899999999999995,14.0,50,collision,5.965,14.0,149
fresh_validation,b8aeb02527a160df34c7bc5d7b90977b5104beb9bd685377f67572ee62f5fa4b,structured_63002,eta1_lag1_extra0,primary,UNION_REFRESH,completed,True,True,True,both_fail,both_fail,4.28,1.8775463104248047e-06,artifacts/da_plcbf/actuator-diagnostics-20260906/v1/secondary-refresh-validation-v1/analysis-v1/fresh_validation/report.json,e748a5ab57e2f233aa09c3c1969eb51c0ba0fddf05e45f047f0023146104815e,collision,5.1049999999999995,14.0,50,collision,5.1049999999999995,14.0,127
