cell,confidence_level,estimate,lower,method,metric,n_episodes,n_library_seeds,n_pairs,n_resamples,n_worlds,panel,per_seed_effects,qualification,resampling_seed,upper,world_only_lower,world_only_upper
navigation_combined,,0.08333333333333333,,F2,actual_collision,12,3,,,4,balanced_episode_rate,,,,,,
navigation_effectiveness,,0.16666666666666666,,F2,actual_collision,12,3,,,4,balanced_episode_rate,,,,,,
navigation_lag,,0.08333333333333333,,F2,actual_collision,12,3,,,4,balanced_episode_rate,,,,,,
navigation_nominal,,0.16666666666666666,,F2,actual_collision,12,3,,,4,balanced_episode_rate,,,,,,
structured_combined,,0.5,,F2,actual_collision,12,3,,,4,balanced_episode_rate,,,,,,
structured_effectiveness,,0.0,,F2,actual_collision,12,3,,,4,balanced_episode_rate,,,,,,
structured_lag,,0.0,,F2,actual_collision,12,3,,,4,balanced_episode_rate,,,,,,
structured_nominal,,0.25,,F2,actual_collision,12,3,,,4,balanced_episode_rate,,,,,,
navigation_combined,,0.16666666666666666,,DR,actual_collision,12,3,,,4,balanced_episode_rate,,,,,,
navigation_effectiveness,,0.16666666666666666,,DR,actual_collision,12,3,,,4,balanced_episode_rate,,,,,,
navigation_lag,,0.16666666666666666,,DR,actual_collision,12,3,,,4,balanced_episode_rate,,,,,,
navigation_nominal,,0.16666666666666666,,DR,actual_collision,12,3,,,4,balanced_episode_rate,,,,,,
structured_combined,,0.16666666666666666,,DR,actual_collision,12,3,,,4,balanced_episode_rate,,,,,,
structured_effectiveness,,0.25,,DR,actual_collision,12,3,,,4,balanced_episode_rate,,,,,,
structured_lag,,0.08333333333333333,,DR,actual_collision,12,3,,,4,balanced_episode_rate,,,,,,
structured_nominal,,0.16666666666666666,,DR,actual_collision,12,3,,,4,balanced_episode_rate,,,,,,
navigation_combined,,0.25,,A,actual_collision,12,3,,,4,balanced_episode_rate,,,,,,
navigation_effectiveness,,0.16666666666666666,,A,actual_collision,12,3,,,4,balanced_episode_rate,,,,,,
navigation_lag,,0.16666666666666666,,A,actual_collision,12,3,,,4,balanced_episode_rate,,,,,,
navigation_nominal,,0.08333333333333333,,A,actual_collision,12,3,,,4,balanced_episode_rate,,,,,,
structured_combined,,0.08333333333333333,,A,actual_collision,12,3,,,4,balanced_episode_rate,,,,,,
structured_effectiveness,,0.4166666666666667,,A,actual_collision,12,3,,,4,balanced_episode_rate,,,,,,
structured_lag,,0.0,,A,actual_collision,12,3,,,4,balanced_episode_rate,,,,,,
structured_nominal,,0.25,,A,actual_collision,12,3,,,4,balanced_episode_rate,,,,,,
navigation_combined,,0.16666666666666666,,OPT,actual_collision,12,3,,,4,balanced_episode_rate,,,,,,
navigation_effectiveness,,0.25,,OPT,actual_collision,12,3,,,4,balanced_episode_rate,,,,,,
navigation_lag,,0.16666666666666666,,OPT,actual_collision,12,3,,,4,balanced_episode_rate,,,,,,
navigation_nominal,,0.0,,OPT,actual_collision,12,3,,,4,balanced_episode_rate,,,,,,
structured_combined,,0.4166666666666667,,OPT,actual_collision,12,3,,,4,balanced_episode_rate,,,,,,
structured_effectiveness,,0.75,,OPT,actual_collision,12,3,,,4,balanced_episode_rate,,,,,,
structured_lag,,1.0,,OPT,actual_collision,12,3,,,4,balanced_episode_rate,,,,,,
structured_nominal,,0.25,,OPT,actual_collision,12,3,,,4,balanced_episode_rate,,,,,,
navigation_combined,0.9995833333333334,0.16666666666666666,0.0,A minus F2,actual_collision,,3,12,20000,4,sealed_paired_contrast,"[0.25, 0.25, 0.0]",Approximate crossed-cluster percentile interval; not a zero-risk guarantee. Few library seeds: report per-seed effects; seed-population coverage is weak.,20260906,0.9583854166667152,0.0,0.3333333333333333
navigation_effectiveness,0.9995833333333334,0.0,-0.75,A minus F2,actual_collision,,3,12,20000,4,sealed_paired_contrast,"[-0.25, 0.0, 0.25]",Approximate crossed-cluster percentile interval; not a zero-risk guarantee. Few library seeds: report per-seed effects; seed-population coverage is weak.,20260906,0.75,-0.3333333333333333,0.3333333333333333
navigation_lag,0.9995833333333334,0.08333333333333333,-0.75,A minus F2,actual_collision,,3,12,20000,4,sealed_paired_contrast,"[0.0, 0.5, -0.25]",Approximate crossed-cluster percentile interval; not a zero-risk guarantee. Few library seeds: report per-seed effects; seed-population coverage is weak.,20260906,1.0,-0.3333333333333333,0.3333333333333333
navigation_nominal,0.9995833333333334,-0.08333333333333333,-1.0,A minus F2,actual_collision,,3,12,20000,4,sealed_paired_contrast,"[-0.25, -0.25, 0.25]",Approximate crossed-cluster percentile interval; not a zero-risk guarantee. Few library seeds: report per-seed effects; seed-population coverage is weak.,20260906,0.75,-0.3333333333333333,0.0
