K,component,observation,repetition,seconds
4,controller,structured_nominal,0,0.02851830329746008
4,learner,structured_nominal,0,0.01971435360610485
4,controller,structured_combined,0,0.013925714883953333
4,learner,structured_combined,0,0.015427622012794018
4,controller,navigation_nominal,0,0.01911059906706214
4,learner,navigation_nominal,0,0.015357682015746832
4,controller,navigation_combined,0,0.013575326185673475
4,learner,navigation_combined,0,0.015192313119769096
8,controller,structured_nominal,0,0.021000782027840614
8,learner,structured_nominal,0,0.019405401777476072
8,controller,structured_combined,0,0.01674385881051421
8,learner,structured_combined,0,0.015551222022622824
8,controller,navigation_nominal,0,0.021016567014157772
8,learner,navigation_nominal,0,0.01549505302682519
8,controller,navigation_combined,0,0.014126345049589872
8,learner,navigation_combined,0,0.015592275653034449
16,controller,structured_nominal,0,0.019261466804891825
16,learner,structured_nominal,0,0.019495921209454536
16,controller,structured_combined,0,0.013475996907800436
16,learner,structured_combined,0,0.01589244417846203
16,controller,navigation_nominal,0,0.019792163744568825
16,learner,navigation_nominal,0,0.015888469759374857
16,controller,navigation_combined,0,0.013417731039226055
16,learner,navigation_combined,0,0.015825210139155388
32,controller,structured_nominal,0,0.02055866504088044
32,learner,structured_nominal,0,0.01648663030937314
32,controller,structured_combined,0,0.014227686915546656
32,learner,structured_combined,0,0.016442141961306334
32,controller,navigation_nominal,0,0.014381736982613802
32,learner,navigation_nominal,0,0.016347641125321388
32,controller,navigation_combined,0,0.014434430282562971
32,learner,navigation_combined,0,0.01610826514661312
8,learner,structured_nominal,1,0.015730799175798893
8,controller,structured_nominal,1,0.016298786271363497
8,learner,structured_combined,1,0.015588819049298763
8,controller,structured_combined,1,0.01473609870299697
8,learner,navigation_nominal,1,0.015537439845502377
8,controller,navigation_nominal,1,0.014314940199255943
8,learner,navigation_combined,1,0.015549133997410536
8,controller,navigation_combined,1,0.01430147374048829
16,learner,structured_nominal,1,0.016029872931540012
16,controller,structured_nominal,1,0.01342966128140688
16,learner,structured_combined,1,0.016154436394572258
16,controller,structured_combined,1,0.014074043370783329
16,learner,navigation_nominal,1,0.01662185275927186
16,controller,navigation_nominal,1,0.014774475246667862
16,learner,navigation_combined,1,0.01629318716004491
16,controller,navigation_combined,1,0.014160624705255032
32,learner,structured_nominal,1,0.016928075812757015
32,controller,structured_nominal,1,0.015704825054854155
32,learner,structured_combined,1,0.017249411903321743
32,controller,structured_combined,1,0.015229868236929178
32,learner,navigation_nominal,1,0.017023876309394836
32,controller,navigation_nominal,1,0.015249472111463547
32,learner,navigation_combined,1,0.017117854673415422
32,controller,navigation_combined,1,0.015531497076153755
4,learner,structured_nominal,1,0.015968005638569593
4,controller,structured_nominal,1,0.01616024598479271
4,learner,structured_combined,1,0.01536258077248931
4,controller,structured_combined,1,0.014212089125066996
4,learner,navigation_nominal,1,0.015592455863952637
4,controller,navigation_nominal,1,0.016868743114173412
4,learner,navigation_combined,1,0.015752595849335194
4,controller,navigation_combined,1,0.018283956218510866
16,controller,structured_nominal,2,0.013914081268012524
16,learner,structured_nominal,2,0.016249975189566612
16,controller,structured_combined,2,0.013815940823405981
16,learner,structured_combined,2,0.015989250037819147
16,controller,navigation_nominal,2,0.013863221276551485
16,learner,navigation_nominal,2,0.016030189115554094
16,controller,navigation_combined,2,0.013797377236187458
16,learner,navigation_combined,2,0.01626368472352624
32,controller,structured_nominal,2,0.014665029011666775
32,learner,structured_nominal,2,0.016691788099706173
32,controller,structured_combined,2,0.01512678200379014
32,learner,structured_combined,2,0.017108208034187555
32,controller,navigation_nominal,2,0.015375317074358463
32,learner,navigation_nominal,2,0.016940402798354626
32,controller,navigation_combined,2,0.016312111169099808
32,learner,navigation_combined,2,0.017341353930532932
4,controller,structured_nominal,2,0.017634659074246883
4,learner,structured_nominal,2,0.015670873690396547
4,controller,structured_combined,2,0.018319346010684967
4,learner,structured_combined,2,0.015644521918147802
4,controller,navigation_nominal,2,0.015709535218775272
4,learner,navigation_nominal,2,0.015447536949068308
4,controller,navigation_combined,2,0.014500726945698261
4,learner,navigation_combined,2,0.015574988909065723
8,controller,structured_nominal,2,0.016375267878174782
8,learner,structured_nominal,2,0.015853877179324627
8,controller,structured_combined,2,0.0152194001711905
8,learner,structured_combined,2,0.01568182883784175
8,controller,navigation_nominal,2,0.017311434261500835
8,learner,navigation_nominal,2,0.015970399137586355
8,controller,navigation_combined,2,0.016610708087682724
8,learner,navigation_combined,2,0.01570078218355775
32,learner,structured_nominal,3,0.017033954616636038
32,controller,structured_nominal,3,0.015006259083747864
32,learner,structured_combined,3,0.016635451931506395
32,controller,structured_combined,3,0.014428154099732637
32,learner,navigation_nominal,3,0.016632015351206064
32,controller,navigation_nominal,3,0.014448377769440413
32,learner,navigation_combined,3,0.016630154103040695
32,controller,navigation_combined,3,0.01423201197758317
4,learner,structured_nominal,3,0.015472203027456999
4,controller,structured_nominal,3,0.014394748024642467
4,learner,structured_combined,3,0.015582781750708818
4,controller,structured_combined,3,0.013867208734154701
4,learner,navigation_nominal,3,0.015467964112758636
4,controller,navigation_nominal,3,0.013712882995605469
4,learner,navigation_combined,3,0.015474325977265835
4,controller,navigation_combined,3,0.013826470822095871
8,learner,structured_nominal,3,0.015841193962842226
8,controller,structured_nominal,3,0.014779164455831051
8,learner,structured_combined,3,0.01578017696738243
8,controller,structured_combined,3,0.014524767640978098
8,learner,navigation_nominal,3,0.015467433258891106
8,controller,navigation_nominal,3,0.014349640347063541
8,learner,navigation_combined,3,0.015508031006902456
8,controller,navigation_combined,3,0.014253583271056414
16,learner,structured_nominal,3,0.015971979591995478
16,controller,structured_nominal,3,0.013339369092136621
16,learner,structured_combined,3,0.015883412212133408
16,controller,structured_combined,3,0.013318068347871304
16,learner,navigation_nominal,3,0.01588120311498642
16,controller,navigation_nominal,3,0.013459448702633381
16,learner,navigation_combined,3,0.01585655566304922
16,controller,navigation_combined,3,0.013229070231318474
32,controller,structured_nominal,4,0.0141314840875566
32,learner,structured_nominal,4,0.01641989592462778
32,controller,structured_combined,4,0.014213986229151487
32,learner,structured_combined,4,0.016311615239828825
32,controller,navigation_nominal,4,0.014281283598393202
32,learner,navigation_nominal,4,0.016629250720143318
32,controller,navigation_combined,4,0.014987188391387463
32,learner,navigation_combined,4,0.016985188238322735
16,controller,structured_nominal,4,0.015099104028195143
16,learner,structured_nominal,4,0.01635538414120674
16,controller,structured_combined,4,0.014403665903955698
16,learner,structured_combined,4,0.016008883714675903
16,controller,navigation_nominal,4,0.015320080798119307
16,learner,navigation_nominal,4,0.016478255856782198
16,controller,navigation_combined,4,0.014325215015560389
16,learner,navigation_combined,4,0.016062112990766764
8,controller,structured_nominal,4,0.01582729024812579
8,learner,structured_nominal,4,0.01560064498335123
8,controller,structured_combined,4,0.014411777723580599
8,learner,structured_combined,4,0.015437697060406208
8,controller,navigation_nominal,4,0.014371419325470924
8,learner,navigation_nominal,4,0.015418621245771646
8,controller,navigation_combined,4,0.014049305114895105
8,learner,navigation_combined,4,0.01543127791956067
4,controller,structured_nominal,4,0.013764673843979836
4,learner,structured_nominal,4,0.01538151130080223
4,controller,structured_combined,4,0.013510277960449457
4,learner,structured_combined,4,0.01525999279692769
4,controller,navigation_nominal,4,0.013602416962385178
4,learner,navigation_nominal,4,0.015218871179968119
4,controller,navigation_combined,4,0.01559337880462408
4,learner,navigation_combined,4,0.015463692136108875
4,learner,structured_nominal,5,0.016003306955099106
4,controller,structured_nominal,5,0.01599291432648897
4,learner,structured_combined,5,0.015431927051395178
4,controller,structured_combined,5,0.017873771023005247
4,learner,navigation_nominal,5,0.01551812095567584
4,controller,navigation_nominal,5,0.015479521825909615
4,learner,navigation_combined,5,0.01529724383726716
4,controller,navigation_combined,5,0.01403855998069048
32,learner,structured_nominal,5,0.016602476127445698
32,controller,structured_nominal,5,0.014465993735939264
32,learner,structured_combined,5,0.01655307225883007
32,controller,structured_combined,5,0.01429359707981348
32,learner,navigation_nominal,5,0.016568937804549932
32,controller,navigation_nominal,5,0.014376201201230288
32,learner,navigation_combined,5,0.01650346163660288
32,controller,navigation_combined,5,0.014362330082803965
16,learner,structured_nominal,5,0.016132113058120012
16,controller,structured_nominal,5,0.013755137100815773
16,learner,structured_combined,5,0.01598142134025693
16,controller,structured_combined,5,0.013356172945350409
16,learner,navigation_nominal,5,0.01586657203733921
16,controller,navigation_nominal,5,0.013470605947077274
16,learner,navigation_combined,5,0.0158351412974298
16,controller,navigation_combined,5,0.013288421090692282
8,learner,structured_nominal,5,0.015615196898579597
8,controller,structured_nominal,5,0.014545539859682322
8,learner,structured_combined,5,0.015584010630846024
8,controller,structured_combined,5,0.015433488879352808
8,learner,navigation_nominal,5,0.01564099732786417
8,controller,navigation_nominal,5,0.018171686213463545
8,learner,navigation_combined,5,0.015619851183146238
8,controller,navigation_combined,5,0.0182083030231297
8,controller,structured_nominal,6,0.014203380793333054
8,learner,structured_nominal,6,0.015539868734776974
8,controller,structured_combined,6,0.014787642750889063
8,learner,structured_combined,6,0.015535193961113691
8,controller,navigation_nominal,6,0.015771752689033747
8,learner,navigation_nominal,6,0.015647367108613253
8,controller,navigation_combined,6,0.015958470292389393
8,learner,navigation_combined,6,0.015501764137297869
4,controller,structured_nominal,6,0.015381504315882921
4,learner,structured_nominal,6,0.015315715223550797
4,controller,structured_combined,6,0.013854646589607
4,learner,structured_combined,6,0.01536190276965499
4,controller,navigation_nominal,6,0.01445683278143406
4,learner,navigation_nominal,6,0.015245024114847183
4,controller,navigation_combined,6,0.014519337099045515
4,learner,navigation_combined,6,0.015232996549457312
32,controller,structured_nominal,6,0.014236739370971918
32,learner,structured_nominal,6,0.016509616747498512
32,controller,structured_combined,6,0.014409922063350677
32,learner,structured_combined,6,0.016377542167901993
32,controller,navigation_nominal,6,0.014428991824388504
32,learner,navigation_nominal,6,0.016343305818736553
32,controller,navigation_combined,6,0.014337151776999235
32,learner,navigation_combined,6,0.01638912921771407
16,controller,structured_nominal,6,0.01408078521490097
16,learner,structured_nominal,6,0.016114389058202505
16,controller,structured_combined,6,0.014152355957776308
16,learner,structured_combined,6,0.015906738117337227
16,controller,navigation_nominal,6,0.013877659104764462
16,learner,navigation_nominal,6,0.0158453150652349
16,controller,navigation_combined,6,0.01365942507982254
16,learner,navigation_combined,6,0.015912106726318598
16,learner,structured_nominal,7,0.016160662285983562
16,controller,structured_nominal,7,0.013698451686650515
16,learner,structured_combined,7,0.01598929101601243
16,controller,structured_combined,7,0.013563948217779398
16,learner,navigation_nominal,7,0.015980277210474014
16,controller,navigation_nominal,7,0.013839060440659523
16,learner,navigation_combined,7,0.01606347505003214
16,controller,navigation_combined,7,0.013971422333270311
8,learner,structured_nominal,7,0.015611375216394663
8,controller,structured_nominal,7,0.014925064984709024
8,learner,structured_combined,7,0.0155235780403018
8,controller,structured_combined,7,0.015364086721092463
8,learner,navigation_nominal,7,0.015529731288552284
8,controller,navigation_nominal,7,0.015256850980222225
8,learner,navigation_combined,7,0.015414123889058828
8,controller,navigation_combined,7,0.014663806185126305
4,learner,structured_nominal,7,0.015374089125543833
4,controller,structured_nominal,7,0.014586694072932005
4,learner,structured_combined,7,0.015308798290789127
4,controller,structured_combined,7,0.014700604137033224
4,learner,navigation_nominal,7,0.015210248064249754
4,controller,navigation_nominal,7,0.013965512160211802
4,learner,navigation_combined,7,0.015245314221829176
4,controller,navigation_combined,7,0.0142663000151515
32,learner,structured_nominal,7,0.01651002513244748
32,controller,structured_nominal,7,0.014293162152171135
32,learner,structured_combined,7,0.016448615584522486
32,controller,structured_combined,7,0.013916193973273039
32,learner,navigation_nominal,7,0.01643579313531518
32,controller,navigation_nominal,7,0.014399461913853884
32,learner,navigation_combined,7,0.016527785919606686
32,controller,navigation_combined,7,0.014380055945366621
4,controller,structured_nominal,8,0.013498484157025814
4,learner,structured_nominal,8,0.015319495927542448
4,controller,structured_combined,8,0.013727874029427767
4,learner,structured_combined,8,0.015226181130856276
4,controller,navigation_nominal,8,0.013727662153542042
4,learner,navigation_nominal,8,0.015226862858980894
4,controller,navigation_combined,8,0.01350071793422103
4,learner,navigation_combined,8,0.015172576997429132
8,controller,structured_nominal,8,0.01490497961640358
8,learner,structured_nominal,8,0.015551517251878977
8,controller,structured_combined,8,0.014360608998686075
8,learner,structured_combined,8,0.015488911885768175
8,controller,navigation_nominal,8,0.014361495152115822
8,learner,navigation_nominal,8,0.015515884384512901
8,controller,navigation_combined,8,0.014688960742205381
8,learner,navigation_combined,8,0.01542539894580841
16,controller,structured_nominal,8,0.013658507727086544
16,learner,structured_nominal,8,0.015956901013851166
16,controller,structured_combined,8,0.013521387241780758
16,learner,structured_combined,8,0.015934038907289505
16,controller,navigation_nominal,8,0.013917290139943361
16,learner,navigation_nominal,8,0.015850399620831013
16,controller,navigation_combined,8,0.013698199298232794
16,learner,navigation_combined,8,0.015859399922192097
32,controller,structured_nominal,8,0.014507718849927187
32,learner,structured_nominal,8,0.016532811801880598
32,controller,structured_combined,8,0.014908017124980688
32,learner,structured_combined,8,0.016941762063652277
32,controller,navigation_nominal,8,0.015169199090451002
32,learner,navigation_nominal,8,0.01646854542195797
32,controller,navigation_combined,8,0.014610457699745893
32,learner,navigation_combined,8,0.016432181000709534
8,learner,structured_nominal,9,0.01623453013598919
8,controller,structured_nominal,9,0.01689742924645543
8,learner,structured_combined,9,0.015536241233348846
8,controller,structured_combined,9,0.014761316124349833
8,learner,navigation_nominal,9,0.01548352325335145
8,controller,navigation_nominal,9,0.0144560388289392
8,learner,navigation_combined,9,0.015485140960663557
8,controller,navigation_combined,9,0.014170396141707897
16,learner,structured_nominal,9,0.015902657993137836
16,controller,structured_nominal,9,0.01336994580924511
16,learner,structured_combined,9,0.015838862396776676
16,controller,structured_combined,9,0.01331734610721469
16,learner,navigation_nominal,9,0.016001067124307156
16,controller,navigation_nominal,9,0.013989785220474005
16,learner,navigation_combined,9,0.016097502782940865
16,controller,navigation_combined,9,0.014114830177277327
32,learner,structured_nominal,9,0.01654913369566202
32,controller,structured_nominal,9,0.014477640390396118
32,learner,structured_combined,9,0.016412527300417423
32,controller,structured_combined,9,0.014136489015072584
32,learner,navigation_nominal,9,0.016484775114804506
32,controller,navigation_nominal,9,0.01433457899838686
32,learner,navigation_combined,9,0.016449092887341976
32,controller,navigation_combined,9,0.014050935860723257
4,learner,structured_nominal,9,0.01555752707645297
4,controller,structured_nominal,9,0.013954027090221643
4,learner,structured_combined,9,0.01539974007755518
4,controller,structured_combined,9,0.013742989860475063
4,learner,navigation_nominal,9,0.015487710013985634
4,controller,navigation_nominal,9,0.01373605290427804
4,learner,navigation_combined,9,0.015380178112536669
4,controller,navigation_combined,9,0.013566943351179361
16,controller,structured_nominal,10,0.013754793908447027
16,learner,structured_nominal,10,0.016000663861632347
16,controller,structured_combined,10,0.013632415793836117
16,learner,structured_combined,10,0.015976437833160162
16,controller,navigation_nominal,10,0.013860237784683704
16,learner,navigation_nominal,10,0.01604386093094945
16,controller,navigation_combined,10,0.01440568407997489
16,learner,navigation_combined,10,0.0164755848236382
32,controller,structured_nominal,10,0.015244142152369022
32,learner,structured_nominal,10,0.016659989953041077
32,controller,structured_combined,10,0.014858010224997997
32,learner,structured_combined,10,0.016595541033893824
32,controller,navigation_nominal,10,0.014477154705673456
32,learner,navigation_nominal,10,0.016455911099910736
32,controller,navigation_combined,10,0.014476095326244831
32,learner,navigation_combined,10,0.016493806149810553
4,controller,structured_nominal,10,0.014258471317589283
4,learner,structured_nominal,10,0.015475012827664614
4,controller,structured_combined,10,0.0135698770172894
4,learner,structured_combined,10,0.015369631815701723
4,controller,navigation_nominal,10,0.013808532152324915
4,learner,navigation_nominal,10,0.01530985301360488
4,controller,navigation_combined,10,0.013839096762239933
4,learner,navigation_combined,10,0.015529256779700518
8,controller,structured_nominal,10,0.014450667891651392
8,learner,structured_nominal,10,0.015583154279738665
8,controller,structured_combined,10,0.014274810906499624
8,learner,structured_combined,10,0.015622936189174652
8,controller,navigation_nominal,10,0.014498895965516567
8,learner,navigation_nominal,10,0.015613518189638853
8,controller,navigation_combined,10,0.015234711579978466
8,learner,navigation_combined,10,0.015815360005944967
32,learner,structured_nominal,11,0.01756136165931821
32,controller,structured_nominal,11,0.015103835612535477
32,learner,structured_combined,11,0.016804722137749195
32,controller,structured_combined,11,0.014519489835947752
32,learner,navigation_nominal,11,0.016565090976655483
32,controller,navigation_nominal,11,0.01447291299700737
32,learner,navigation_combined,11,0.016666776966303587
32,controller,navigation_combined,11,0.014500634744763374
4,learner,structured_nominal,11,0.015497333835810423
4,controller,structured_nominal,11,0.014269070234149694
4,learner,structured_combined,11,0.015415607951581478
4,controller,structured_combined,11,0.014039156027138233
4,learner,navigation_nominal,11,0.015395703259855509
4,controller,navigation_nominal,11,0.014717717189341784
4,learner,navigation_combined,11,0.01534778019413352
4,controller,navigation_combined,11,0.013912281021475792
8,learner,structured_nominal,11,0.01564536103978753
8,controller,structured_nominal,11,0.014536403119564056
8,learner,structured_combined,11,0.015624751802533865
8,controller,structured_combined,11,0.015035820193588734
8,learner,navigation_nominal,11,0.015577451325953007
8,controller,navigation_nominal,11,0.01465427502989769
8,learner,navigation_combined,11,0.01555782975628972
8,controller,navigation_combined,11,0.014294455293565989
16,learner,structured_nominal,11,0.016171304043382406
16,controller,structured_nominal,11,0.013847626745700836
16,learner,structured_combined,11,0.015994023997336626
16,controller,structured_combined,11,0.013561564963310957
16,learner,navigation_nominal,11,0.015959924086928368
16,controller,navigation_nominal,11,0.013750419020652771
16,learner,navigation_combined,11,0.016092142090201378
16,controller,navigation_combined,11,0.013936946168541908
32,controller,structured_nominal,12,0.014309174846857786
32,learner,structured_nominal,12,0.01654355926439166
32,controller,structured_combined,12,0.014322963077574968
32,learner,structured_combined,12,0.016586862038820982
32,controller,navigation_nominal,12,0.014702670276165009
32,learner,navigation_nominal,12,0.01641033124178648
32,controller,navigation_combined,12,0.014441257808357477
32,learner,navigation_combined,12,0.01646419707685709
16,controller,structured_nominal,12,0.013954919762909412
16,learner,structured_nominal,12,0.016108911018818617
16,controller,structured_combined,12,0.014065450988709927
16,learner,structured_combined,12,0.016022272873669863
16,controller,navigation_nominal,12,0.014040336012840271
16,learner,navigation_nominal,12,0.016000371892005205
16,controller,navigation_combined,12,0.013915680814534426
16,learner,navigation_combined,12,0.016118596773594618
8,controller,structured_nominal,12,0.01578570995479822
8,learner,structured_nominal,12,0.01573012489825487
8,controller,structured_combined,12,0.014744711108505726
8,learner,structured_combined,12,0.015573414973914623
8,controller,navigation_nominal,12,0.014589927159249783
8,learner,navigation_nominal,12,0.015616647899150848
8,controller,navigation_combined,12,0.015262373257428408
8,learner,navigation_combined,12,0.015643053222447634
4,controller,structured_nominal,12,0.015090439934283495
4,learner,structured_nominal,12,0.015394372399896383
4,controller,structured_combined,12,0.013949465937912464
4,learner,structured_combined,12,0.015411308035254478
4,controller,navigation_nominal,12,0.014038966968655586
4,learner,navigation_nominal,12,0.015386077109724283
4,controller,navigation_combined,12,0.014386498834937811
4,learner,navigation_combined,12,0.015261166729032993
