id,case,method,learner_numerics,qp_numerics,outcome,waypoints,physical_seconds,online_updates,hold_timing_covered,controller_decisions,qp_accepted,raw_policy_rejections,solver_feasible_but_raw_row_fails,executed_raw_row_min_for_solver_feasible,held_rejections,source_summary
harm__PD_F__matched__legacy,harm,PD_F,matched,legacy,safe_task,2,14.0,0,True,350,348,2,3,-2.3543834686279297e-06,0,/home/tk/Desktop/mycode/crazyflow/artifacts/da_plcbf/numerical-stabilization-20260906/v1/development-36-v3/harm__PD_F__matched__legacy/attempt-00/summary.json
harm__F2__matched__legacy,harm,F2,matched,legacy,safe_task,2,14.0,0,True,350,347,3,2,-2.86102294921875e-06,0,/home/tk/Desktop/mycode/crazyflow/artifacts/da_plcbf/numerical-stabilization-20260906/v1/development-36-v3/harm__F2__matched__legacy/attempt-00/summary.json
harm__A_BAL__legacy__legacy,harm,A_BAL,legacy,legacy,collision,0,4.45,111,True,112,93,0,1,-2.2649765014648438e-06,5,/home/tk/Desktop/mycode/crazyflow/artifacts/da_plcbf/numerical-stabilization-20260906/v1/development-36-v3/harm__A_BAL__legacy__legacy/attempt-00/summary.json
harm__A_BAL__matched__legacy,harm,A_BAL,matched,legacy,collision,0,4.45,111,True,112,93,0,0,-1.8477439880371094e-06,5,/home/tk/Desktop/mycode/crazyflow/artifacts/da_plcbf/numerical-stabilization-20260906/v1/development-36-v3/harm__A_BAL__matched__legacy/attempt-00/summary.json
harm__ONSET_FREEZE__legacy__legacy,harm,ONSET_FREEZE,legacy,legacy,safe_task,2,14.0,50,True,350,347,3,5,-3.069639205932617e-06,0,/home/tk/Desktop/mycode/crazyflow/artifacts/da_plcbf/numerical-stabilization-20260906/v1/development-36-v3/harm__ONSET_FREEZE__legacy__legacy/attempt-00/summary.json
harm__ONSET_FREEZE__matched__legacy,harm,ONSET_FREEZE,matched,legacy,safe_task,2,14.0,50,True,350,348,2,2,-4.112720489501953e-06,0,/home/tk/Desktop/mycode/crazyflow/artifacts/da_plcbf/numerical-stabilization-20260906/v1/development-36-v3/harm__ONSET_FREEZE__matched__legacy/attempt-00/summary.json
harm__PD_F__matched__inward,harm,PD_F,matched,inward,collision,0,5.744999999999999,0,True,144,117,0,0,1.0728836059570312e-05,5,/home/tk/Desktop/mycode/crazyflow/artifacts/da_plcbf/numerical-stabilization-20260906/v1/development-36-v3/harm__PD_F__matched__inward/attempt-00/summary.json
harm__F2__matched__inward,harm,F2,matched,inward,safe_task,2,14.0,0,True,350,315,7,0,1.817941665649414e-06,28,/home/tk/Desktop/mycode/crazyflow/artifacts/da_plcbf/numerical-stabilization-20260906/v1/development-36-v3/harm__F2__matched__inward/attempt-00/summary.json
harm__A_BAL__legacy__inward,harm,A_BAL,legacy,inward,collision,0,4.45,111,True,112,93,0,0,9.894371032714844e-06,5,/home/tk/Desktop/mycode/crazyflow/artifacts/da_plcbf/numerical-stabilization-20260906/v1/development-36-v3/harm__A_BAL__legacy__inward/attempt-00/summary.json
harm__A_BAL__matched__inward,harm,A_BAL,matched,inward,collision,0,4.45,111,True,112,93,0,0,1.0013580322265625e-05,5,/home/tk/Desktop/mycode/crazyflow/artifacts/da_plcbf/numerical-stabilization-20260906/v1/development-36-v3/harm__A_BAL__matched__inward/attempt-00/summary.json
