actual_and_estimated_wind_match_recorded_schedule,all_controls_have_checked_backup,binding_sha256,case_method,controls_sha256,directory,end_time,executed_backup_controls,finite_credited_updates,first_backup_execution,first_unchecked_control,held_timing_covered,method,operational_pass,preflight_updates,safe_task,stage,stored_tail_controls,termination,unchecked_controls,waypoints,waypoints_total
,True,8f9aa0d5334d6050cbf16952d5b904e3698272a27a7e1af2be61f0552c92d970,gain-A_BAL,3970f1a32c447c5bd5f397e66054794c7fcd1c4f5731fd94a2a336ce9d88f661,artifacts/da_plcbf/recovery-interaction-20260907/v1/guard-fixed-v1/gain-A_BAL/attempt-00,24.0,0,599,,,True,A_BAL,True,,True,guard-fixed-v1,,duration_complete,0,4,4
,True,fe27e77b568071cbc0a938b1a78fea2358fc1c854158b83a617d93bbcb051ba3,gain-F2,f29c1ab68eec36a8075d9485d15a85578d02109c4e1a260e8368913bf657c3a2,artifacts/da_plcbf/recovery-interaction-20260907/v1/guard-fixed-v1/gain-F2/attempt-00,24.0,10,0,14.8,,True,F2,True,,True,guard-fixed-v1,,duration_complete,0,4,4
,True,8cebc8f7f4adeca356f605615ad16b79ec4eeab218c3a5b090fdf20c145aca21,gain-ONSET_FREEZE,de58aea5e4e2dde4a668bf6fe51c11534e8e88fd8a248ab3c28c4aa04bcd37f6,artifacts/da_plcbf/recovery-interaction-20260907/v1/guard-fixed-v1/gain-ONSET_FREEZE/attempt-00,24.0,10,50,14.76,,True,A_BAL,True,,True,guard-fixed-v1,,duration_complete,0,4,4
,False,b984df6044b4a2d492d68a096c5fedda767d3b4438e39686615a3fd7c7f86679,gain-PD_F,d43d6c16b411bc354d903472bd73d10892450b264481dc85b1f7e81e6203087f,artifacts/da_plcbf/recovery-interaction-20260907/v1/guard-fixed-v1/gain-PD_F/attempt-00,24.0,0,0,,1.36,True,PD_F,True,,False,guard-fixed-v1,,duration_complete,19,3,4
,True,8eac2709ee74b9fd3006cf75696d7af338a909101804b27c8f0a44e92d20c579,harm-A_BAL,42f6d7c2b09025920d4d9cf57e7ebc982a0f65c24e1cc0e2a58ac7022e72049d,artifacts/da_plcbf/recovery-interaction-20260907/v1/guard-fixed-v1/harm-A_BAL/attempt-00,14.0,7,349,3.68,,True,A_BAL,True,,True,guard-fixed-v1,,duration_complete,0,2,2
,True,07c2cb92f605a80558344ce0aac8277b2eb68b042a1531619179f22b7015e938,harm-F2,0b0380387c7c085271d6ad62e4a1a83badbe88e4059c4a13eeaabab42e28fb5f,artifacts/da_plcbf/recovery-interaction-20260907/v1/guard-fixed-v1/harm-F2/attempt-00,14.0,12,0,5.08,,True,F2,True,,True,guard-fixed-v1,,duration_complete,0,2,2
,True,a9cb170b6ea7e7e9c11201b4e9e684eee3050334a1a33bea4ac3791aea050917,harm-ONSET_FREEZE,9894b1890a8eba732a8e2704228663f926095b679fa24c66c3da7e901bd4ffc2,artifacts/da_plcbf/recovery-interaction-20260907/v1/guard-fixed-v1/harm-ONSET_FREEZE/attempt-00,14.0,0,50,,,True,A_BAL,True,,True,guard-fixed-v1,,duration_complete,0,2,2
,False,544d1565fcc2f2ec60d687a0c1becec6f5a0a115a0ef399dc9867df35cccb6a0,harm-PD_F,51c9c32ef42b7aaf1574aad5b978683c5cd2d9ae185579a113ef5b4407b808eb,artifacts/da_plcbf/recovery-interaction-20260907/v1/guard-fixed-v1/harm-PD_F/attempt-00,14.0,4,0,4.68,6.04,True,PD_F,True,,True,guard-fixed-v1,,duration_complete,1,2,2
,True,6a426b7e6be5fdc925ffc380e0151253caf34a8fae1428564b640d208cd04979,no_change_regression-A_BAL,d7e2130668fb1d309d501480ffaab0370b440331b49c5498a0f5ddfcdc448315,artifacts/da_plcbf/recovery-interaction-20260907/v1/guard-fixed-v1/no_change_regression-A_BAL/attempt-00,24.0,0,599,,,True,A_BAL,True,,True,guard-fixed-v1,,duration_complete,0,4,4
,True,7ca0674a8844d849a96bc435e3967dc2cd0eb4a003f8cac3bc005d707fdc613e,no_change_regression-F2,419aa73a3232e72ff751772e64094e0d8242d2fc51e1153d499d6ae4818330dd,artifacts/da_plcbf/recovery-interaction-20260907/v1/guard-fixed-v1/no_change_regression-F2/attempt-00,24.0,0,0,,,True,F2,True,,True,guard-fixed-v1,,duration_complete,0,4,4
